SIMULATION PARAMETERS:
n = 180
m = 320
k = 1
p = 5
recruit_likeliness = 1.0E-4
defeat_likeliness = 0.5
starting_control = 100
resource_noise_scale = 0.13176157

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	
283	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
284	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
285	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
286	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
287	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
288	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
289	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
290	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
291	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
292	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
293	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
294	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
295	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
296	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
297	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
298	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
299	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
300	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
301	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
302	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
303	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
304	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
305	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
306	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
307	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
308	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
309	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
310	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
311	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
312	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
313	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
314	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
315	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
