SIMULATION PARAMETERS:
n = 18
m = 32
p = 3
resource_noise_scale = 0.41666666
q = 0.0
E_C = 0.0
P_HF = 0.5
R_t = 0.0
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	
131	131	31.586744	6.915385	Colonize	131	26.328482	6.8615384	Colonize	131	36.881527	6.8923078	Colonize	
132	132	31.78331	6.923664	Contest	132	26.51727	6.8396945	Colonize	132	36.969482	6.885496	Colonize	
133	133	32.072506	6.931818	Colonize	133	26.599558	6.848485	Colonize	133	36.98322	6.8939395	Contest	
134	134	32.250256	6.9097743	Colonize	134	26.638504	6.857143	Colonize	134	37.225933	6.9022555	Contest	
135	135	32.358955	6.9179106	Colonize	135	27.085371	6.850746	Colonize	135	37.365707	6.8955226	Colonize	
136	136	32.41461	6.9259257	Colonize	136	27.444405	6.8296294	Colonize	136	37.461483	6.874074	Contest	
137	137	32.53235	6.9338236	Colonize	137	27.69092	6.8382354	Colonize	137	37.544624	6.882353	Contest	
138	138	32.89345	6.941606	Colonize	138	28.018118	6.8467155	Colonize	138	37.64009	6.890511	Contest	
139	139	33.179802	6.92029	Colonize	139	28.199366	6.8550725	Colonize	139	37.816868	6.8985505	Contest	
140	140	33.256676	6.9280577	Colonize	140	28.466934	6.8633094	Colonize	140	37.920853	6.9064746	Contest	
141	141	33.332573	6.9357142	Colonize	141	28.69077	6.8714285	Colonize	141	38.02933	6.9142857	Colonize	
142	142	33.43215	6.9432626	Colonize	142	28.84063	6.8794327	Colonize	142	38.076748	6.893617	Contest	
143	143	33.891113	6.9366198	Colonize	143	28.980556	6.887324	Colonize	143	38.112854	6.887324	Contest	
144	144	34.118725	6.916084	Colonize	144	29.071812	6.895105	Colonize	144	38.31264	6.909091	Contest	
145	145	34.305096	6.923611	Colonize	145	29.14644	6.9027777	Colonize	145	38.404835	6.888889	Contest	
146	146	34.79147	6.9310346	Colonize	146	29.242357	6.9103446	Colonize	146	38.448822	6.8689656	Contest	
147	147	35.26108	6.9246573	Colonize	147	29.339203	6.917808	Colonize	147	38.58505	6.8767123	Contest	
148	148	35.693794	6.9183674	Colonize	148	29.471329	6.92517	Colonize	148	38.69456	6.857143	Contest	
149	149	35.878353	6.9121623	Contest	149	29.692423	6.9324327	Colonize	149	38.812763	6.864865	Contest	
150	150	36.286488	6.932886	Contest	150	29.842478	6.939597	Colonize	150	38.964405	6.8724833	Contest	
151	151	36.477825	6.9266667	Colonize	151	30.217646	6.9333334	Colonize	151	39.04351	6.8533335	Colonize	
152	152	36.64506	6.9072847	Colonize	152	30.569172	6.927152	Colonize	152	39.08649	6.860927	Contest	
153	153	36.709026	6.9144735	Contest	153	30.890457	6.9342103	Colonize	153	39.23709	6.855263	Contest	
154	154	36.8536	6.9215684	Colonize	154	31.13748	6.9411764	Colonize	154	39.330296	6.8366013	Contest	
155	155	36.939648	6.9025974	Contest	155	31.326704	6.948052	Colonize	154	39.330296	6.844156	Contest	
156	156	37.084187	6.9225807	Contest	155	31.328619	6.9548388	Colonize	155	39.54221	6.844156	Contest	
157	157	37.17747	6.929487	Contest	155	31.211626	6.9548388	Colonize	156	39.860806	6.851613	Contest	
158	158	37.37726	6.9363055	Contest	156	31.467068	6.9548388	Colonize	155	39.66102	6.8589745	Contest	
159	159	37.619972	6.93038	Contest	157	31.80766	6.9615383	Colonize	154	39.418304	6.8774195	Contest	
160	160	37.737564	6.937107	Contest	158	32.05221	6.968153	Colonize	153	39.300713	6.87013	Contest	
161	160	37.737564	6.94375	Contest	159	32.12527	6.962025	Colonize	153	39.300713	6.8627453	Contest	
162	160	37.737564	6.94375	Contest	159	31.947308	6.9685535	Colonize	154	39.568886	6.8627453	Contest	
163	160	37.737564	6.94375	Contest	159	31.753069	6.9685535	Colonize	155	39.88781	6.87013	Contest	
164	160	37.737564	6.94375	Contest	160	31.916801	6.955975	Colonize	155	39.88781	6.8645163	Contest	
165	160	37.737564	6.94375	Contest	161	32.29074	6.9625	Colonize	155	39.88781	6.8645163	Contest	
166	160	37.737564	6.94375	Contest	161	32.41974	6.968944	Colonize	156	40.06179	6.8645163	Contest	
167	160	37.737564	6.94375	Contest	161	32.715294	6.9565215	Colonize	157	40.16592	6.8717947	Contest	
168	160	37.737564	6.94375	Contest	161	32.722427	6.931677	Colonize	158	40.44405	6.878981	Contest	
169	161	38.006325	6.94375	Contest	161	32.441994	6.925466	Colonize	158	40.570515	6.886076	Contest	
170	161	38.006325	6.9503107	Contest	162	32.523914	6.919255	Colonize	158	40.570515	6.886076	Contest	
171	161	38.006325	6.9503107	Contest	162	32.348812	6.9259257	Colonize	159	40.896328	6.886076	Contest	
172	161	38.006325	6.9503107	Contest	163	32.468414	6.919753	Colonize	159	40.896328	6.8930817	Contest	
173	162	38.207504	6.9503107	Contest	163	32.26415	6.92638	Colonize	159	41.176502	6.8930817	Contest	
174	163	38.370083	6.95679	Contest	164	32.584396	6.9141107	Colonize	158	41.013924	6.880503	Contest	
175	164	38.509304	6.96319	Contest	164	31.86621	6.9207315	Colonize	158	41.874702	6.873418	Contest	
176	164	38.509304	6.969512	Contest	164	31.594519	6.9085364	Colonize	159	42.29412	6.8607593	Contest	
177	164	38.509304	6.969512	Contest	164	31.544424	6.884146	Colonize	160	42.472263	6.8427672	Contest	
178	165	38.615227	6.969512	Contest	165	31.714102	6.890244	Colonize	159	42.36634	6.8625	Contest	
179	166	38.775772	6.9757576	Contest	166	31.941181	6.89697	Colonize	158	42.205795	6.8553457	Contest	
180	167	38.874012	6.981928	Contest	166	31.986467	6.9036145	Colonize	158	42.336964	6.848101	Contest	
181	167	38.874012	6.9880238	Contest	166	32.119183	6.89759	Colonize	159	42.439224	6.848101	Contest	
182	168	38.92143	6.9880238	Contest	167	32.40772	6.89759	Colonize	158	42.391808	6.8553457	Contest	
183	168	38.92143	7.0059524	Contest	167	32.6037	6.8922157	Colonize	159	42.48097	6.8607593	Contest	
184	169	39.02856	7.0059524	Contest	167	32.77419	6.8802395	Colonize	159	42.45927	6.8679247	Contest	
185	169	39.02856	7.011834	Contest	167	32.918884	6.8922157	Colonize	160	42.543846	6.880503	Contest	
186	169	39.02856	7.011834	Contest	168	33.15294	6.8922157	Colonize	160	42.543846	6.8875	Contest	
187	169	39.02856	7.011834	Contest	168	32.863934	6.8869047	Colonize	161	42.937405	6.8875	Contest	
188	170	39.182148	7.011834	Contest	168	32.625763	6.8869047	Colonize	161	43.259846	6.89441	Contest	
189	170	39.182148	7.0176473	Contest	169	32.856926	6.875	Colonize	161	43.259846	6.89441	Contest	
190	171	39.218254	7.0176473	Contest	170	33.07922	6.8579884	Colonize	160	43.22374	6.89441	Contest	
191	171	39.218254	7.0350876	Contest	170	33.006496	6.8764706	Colonize	161	43.506084	6.9	Contest	
192	171	39.218254	7.0350876	Contest	170	33.113495	6.864706	Colonize	162	43.574875	6.89441	Contest	
193	171	39.218254	7.0350876	Contest	170	33.208176	6.8764706	Colonize	163	43.675434	6.9135804	Contest	
194	172	39.326733	7.0350876	Contest	170	33.1209	6.8764706	Colonize	163	43.75984	6.920245	Contest	
195	173	39.58056	7.02907	Contest	171	33.242233	6.8764706	Colonize	162	43.506012	6.944785	Contest	
196	174	39.848217	7.0346823	Contest	171	33.25587	6.883041	Colonize	162	43.410225	6.9382715	Contest	
197	175	39.931297	7.0287356	Contest	172	33.44697	6.883041	Colonize	161	43.327145	6.9506173	Contest	
198	176	40.267365	7.0342855	Contest	173	33.619873	6.889535	Colonize	160	42.991077	6.9440994	Contest	
199	176	40.267365	7.0397725	Contest	174	33.817745	6.8959537	Colonize	160	42.991077	6.9375	Contest	
200	177	40.762516	7.0397725	Contest	174	33.928864	6.902299	Colonize	160	42.56352	6.9375	Contest	
201	178	40.87147	7.0338984	Contest	174	33.92367	6.913793	Colonize	160	42.62767	6.975	Contest	
202	179	41.002384	7.0393257	Contest	175	34.074978	6.913793	Colonize	159	42.496758	6.975	Contest	
203	180	41.37127	7.0446925	Contest	176	34.235916	6.92	Colonize	158	42.127872	6.9685535	Contest	
204	181	41.789684	7.05	Contest	177	34.470837	6.9261365	Colonize	157	41.709457	6.962025	Contest	
205	181	41.789684	7.044199	Contest	178	34.75984	6.920904	Colonize	157	41.709457	6.9808917	Contest	
206	182	41.84798	7.044199	Contest	178	34.589314	6.9157305	Colonize	157	42.02842	6.9808917	Contest	
207	182	41.84798	7.0494504	Contest	179	34.73814	6.9044943	Colonize	157	42.02842	6.9808917	Contest	
208	183	41.92376	7.0494504	Contest	179	34.653034	6.9217877	Colonize	157	42.26094	6.9808917	Contest	
209	183	41.92376	7.0546446	Contest	179	34.78372	6.9106145	Colonize	158	42.313145	6.968153	Contest	
210	183	41.92376	7.0546446	Contest	180	34.944427	6.9217877	Colonize	158	42.313145	6.987342	Contest	
211	183	41.92376	7.0546446	Contest	180	34.975777	6.927778	Colonize	159	42.48777	6.987342	Contest	
212	184	42.068214	7.0546446	Contest	180	34.862743	6.922222	Colonize	159	42.60826	6.9937105	Contest	
213	185	42.309902	7.0597825	Contest	181	34.99796	6.9166665	Colonize	158	42.366573	6.9937105	Contest	
214	186	42.72703	7.0648646	Contest	181	35.028736	6.922652	Colonize	158	42.069725	6.987342	Contest	
215	186	42.72703	7.0591397	Contest	182	35.305725	6.917127	Colonize	158	42.069725	7.012658	Contest	
216	186	42.72703	7.0591397	Contest	183	35.589977	6.923077	Colonize	158	42.069725	7.012658	Contest	
217	187	42.77001	7.0591397	Contest	183	35.5449	6.9289618	Colonize	158	42.299202	7.012658	Contest	
218	188	42.863216	7.0641713	Contest	183	35.62645	6.9289618	Colonize	158	42.345932	7.012658	Contest	
219	189	43.015648	7.069149	Contest	183	35.686962	6.9180326	Colonize	159	42.449345	7.012658	Contest	
220	190	43.11278	7.0634923	Contest	183	35.56612	6.9289618	Colonize	160	42.750355	7.0314465	Contest	
221	190	43.11278	7.0578947	Contest	184	35.692646	6.9180326	Colonize	160	42.750355	7.0375	Contest	
222	190	43.11278	7.0578947	Contest	184	35.696114	6.9130435	Colonize	161	43.113873	7.0375	Contest	
223	191	43.230984	7.0578947	Contest	185	36.029453	6.8913045	Colonize	160	42.99567	7.031056	Contest	
224	191	43.230984	7.062827	Contest	186	36.29862	6.8972974	Colonize	160	42.99567	7.025	Contest	
225	192	43.42814	7.062827	Contest	186	36.36114	6.903226	Colonize	160	42.920414	7.025	Contest	
226	193	43.60362	7.0677085	Contest	186	36.3011	6.9139786	Colonize	160	42.94487	7.0375	Contest	
227	194	43.859753	7.072539	Contest	186	36.385876	6.9139786	Colonize	160	42.853043	7.0375	Contest	
228	195	44.15465	7.0773196	Contest	187	36.58152	6.903226	Colonize	159	42.558144	7.025	Contest	
229	196	44.31179	7.0820513	Contest	187	36.731216	6.909091	Colonize	159	42.52568	7.018868	Contest	
230	196	44.31179	7.086735	Contest	187	36.85234	6.919786	Colonize	160	42.747158	7.0314465	Contest	
231	197	44.509422	7.086735	Contest	187	36.936935	6.919786	Colonize	160	42.757046	7.0375	Contest	
232	198	44.613277	7.0913706	Contest	187	36.89519	6.919786	Colonize	160	42.862946	7.0375	Contest	
233	198	44.613277	7.0959597	Contest	187	36.972355	6.909091	Colonize	161	42.985405	7.025	Contest	
234	198	44.613277	7.0959597	Contest	187	36.974545	6.919786	Colonize	162	43.163353	7.0434785	Contest	
235	198	44.613277	7.0959597	Contest	188	37.184338	6.919786	Colonize	162	43.163353	7.0493827	Contest	
236	199	44.787987	7.0959597	Contest	188	37.0859	6.925532	Colonize	162	43.219303	7.0493827	Contest	
237	199	44.787987	7.1005025	Contest	189	37.26626	6.925532	Colonize	162	43.219303	7.0493827	Contest	
238	200	44.867092	7.1005025	Contest	190	37.35712	6.9206347	Colonize	161	43.140198	7.0493827	Contest	
